method,gender,subject,dist_mean_mm,dist_Femur_mm,dist_Pelvis_mm,dist_Humerus_mm,dist_Radius-Ulna_mm,dist_Tibia-Fibula_mm
HIT,female,CR260152,10.5565,9.3118,20.4826,7.7072,7.8866,7.3942
HIT,female,EZ1466,11.2590,7.1913,26.3186,5.0199,6.3690,11.3964
HIT,female,GKF_EFneu_,9.5569,6.3540,21.9241,6.8661,5.9129,6.7275
HIT,female,JKneu_,10.5525,7.4444,22.3061,8.0569,6.7770,8.1778
HIT,female,MR573,10.1414,7.5337,23.8925,4.7497,8.6749,5.8562
HIT,female,NASI_3277_MD,11.1521,7.3700,25.6585,9.1648,6.4144,7.1530
HIT,female,NASI_3343_SZ,10.5099,6.9216,27.8206,5.6562,5.8152,6.3358
HIT,female,NASI_3345_JZ,12.6879,9.1905,26.7496,12.0418,6.4117,9.0457
HIT,female,NRE_3217_VM,9.8339,8.3204,20.4101,5.9996,5.9378,8.5018
HIT,female,PLIS_3074_AL,9.8216,8.0873,20.6695,6.2198,6.8149,7.3164
HIT,female,PLIS_3867_IB,9.4146,6.4735,21.1227,5.1366,6.8201,7.5200
HIT,female,PLIS_4042_HK,9.1281,6.2622,18.3549,7.2177,6.7809,7.0250
HIT,female,PLIS_4071_AO,12.7430,8.2483,30.8164,7.5209,6.7507,10.3790
HIT,female,PREG_2964_AH,9.6932,5.5325,26.0533,3.9003,7.3905,5.5894
HIT,female,PREG_3184_MW,12.4360,7.6772,26.5221,10.4467,10.0354,7.4987
HIT,female,PREG_3304_CK,12.4146,9.7870,26.8089,6.6239,5.0926,13.7609
HIT,female,PREG_3897_HP,15.7219,7.9611,42.7532,6.7315,14.3531,6.8107
HIT,female,PREG_4108_IH,10.3034,5.8263,30.7200,4.6516,4.3976,5.9213
HIT,female,RS050248_,12.6582,11.2406,31.4365,6.6530,8.2344,5.7265
HIT,female,TULIP_1560_EM,10.9589,6.3539,25.1027,4.4093,11.7717,7.1571
HIT,female,VS114_,13.2636,11.8714,20.7460,14.9884,7.8704,10.8418
HIT,female,YB915,10.8155,6.3374,23.0879,4.4821,13.6061,6.5641
HIT,male,GKF_TSneu_,9.9385,7.6184,12.5175,6.9128,15.1506,7.4929
HIT,male,GS300553,9.2589,5.5246,12.0770,4.7042,16.9733,7.0152
HIT,male,MS695,9.2666,7.7308,13.4083,6.8240,10.1666,8.2033
HIT,male,NASI_3394_JW,11.1565,7.5330,17.5867,8.2510,11.9840,10.4280
HIT,male,NASI_3421_MK,8.8673,5.2038,11.5551,6.9664,13.4345,7.1769
HIT,male,NRE_3474_ED,7.9728,5.2532,13.5919,7.1044,7.5996,6.3149
HIT,male,NUP_2590_SB,9.9335,8.7528,14.3789,7.6091,7.8958,11.0307
HIT,male,PLIS_3877_KR,7.6605,6.5229,12.3158,5.5812,6.4931,7.3894
HIT,male,RA050343,8.1333,6.1567,11.2674,5.4341,10.8667,6.9417
HIT,male,RES_3119_RF,7.0062,7.3066,11.9613,3.9169,4.3459,7.5005
HIT,male,TA1329,9.3694,8.2892,12.6680,9.1095,8.8468,7.9335
HIT,male,TULIP002_1585_MS,8.6174,5.7244,11.9254,5.6250,12.2891,7.5234
HIT,male,TULIP00_1547_WS,11.5373,8.0229,16.0357,12.1951,11.7483,9.6843
HIT,male,TULIP00_1812_SS,10.0356,6.8741,11.9506,9.8068,11.1252,10.4214
OSSO,female,CR260152,11.2143,11.4751,12.5684,8.5294,15.3904,8.1081
OSSO,female,EZ1466,8.2032,9.1133,8.5231,6.0745,9.1349,8.1703
OSSO,female,GKF_EFneu_,7.8673,8.5025,7.4300,6.7449,11.1470,5.5121
