method,gender,subject,dist_mean_mm,dist_Femur_mm,dist_Pelvis_mm,dist_Humerus_mm,dist_Radius-Ulna_mm,dist_Tibia-Fibula_mm
SKEL,female,CR260152,10.3057,13.0593,12.3879,7.9021,8.7492,9.4298
SKEL,female,EZ1466,10.2046,14.6637,9.6098,6.0544,7.7341,12.9609
SKEL,female,GKF_EFneu_,8.3307,12.9744,5.7510,7.6087,6.6840,8.6355
SKEL,female,JKneu_,11.3913,14.2881,11.3105,8.4634,10.4353,12.4592
SKEL,female,MR573,10.0753,14.9232,9.8167,7.8165,8.0846,9.7356
SKEL,female,NASI_3277_MD,9.4324,10.6822,12.5087,9.3440,7.7120,6.9150
SKEL,female,NASI_3343_SZ,7.6355,9.0300,7.9820,6.4790,8.9089,5.7774
SKEL,female,NASI_3345_JZ,12.9122,12.6631,16.0542,14.2575,11.7504,9.8359
SKEL,female,NRE_3217_VM,8.6800,13.7328,6.1387,6.0926,7.6289,9.8068
SKEL,female,PLIS_3074_AL,9.4097,13.2105,8.2801,9.5402,6.0510,9.9670
SKEL,female,PLIS_3867_IB,8.0033,10.5607,6.5132,6.1352,6.7640,10.0431
SKEL,female,PLIS_4042_HK,8.5806,10.4284,7.6984,7.2908,8.8582,8.6271
SKEL,female,PLIS_4071_AO,9.0905,11.8552,9.8598,7.5483,5.0864,11.1028
SKEL,female,PREG_2964_AH,7.3855,7.0303,7.6066,9.0621,6.6778,6.5507
SKEL,female,PREG_3184_MW,13.1214,13.0689,22.8105,10.1007,11.1628,8.4641
SKEL,female,PREG_3304_CK,12.2023,12.0460,19.6760,7.2730,7.1759,14.8404
SKEL,female,PREG_3897_HP,12.0530,10.6342,16.0857,11.6063,11.5930,10.3457
SKEL,female,PREG_4108_IH,7.2298,8.8348,9.5662,5.6498,5.2282,6.8700
SKEL,female,RS050248_,12.5563,17.7485,8.4973,15.4109,11.4020,9.7229
SKEL,female,TULIP_1560_EM,7.8189,7.0279,7.2651,8.0039,10.0589,6.7388
SKEL,female,VS114_,14.5422,17.8182,8.7790,14.4643,14.9106,16.7389
SKEL,female,YB915,9.3417,9.1685,6.7089,11.7591,11.2415,7.8304
SKEL-J,female,CR260152,9.4652,11.9182,10.3232,6.8164,9.2608,9.0077
SKEL-J,female,EZ1466,9.1704,14.8021,7.4734,4.7882,5.7045,13.0839
SKEL-J,female,GKF_EFneu_,7.5690,12.2212,5.3533,6.4086,5.6549,8.2072
SKEL-J,female,JKneu_,10.5953,14.2967,10.0587,7.3708,8.5410,12.7093
SKEL-J,female,MR573,9.1616,13.5663,8.5713,7.2676,7.3645,9.0382
SKEL-J,female,NASI_3277_MD,8.8565,10.2894,11.8271,8.5957,6.5922,6.9784
SKEL-J,female,NASI_3343_SZ,6.8182,8.7276,8.3496,4.8311,6.7715,5.4110
SKEL-J,female,NASI_3345_JZ,11.9631,13.0109,15.3884,12.8841,8.6075,9.9244
SKEL-J,female,NRE_3217_VM,8.4883,13.3349,6.1424,5.3911,8.4395,9.1334
SKEL-J,female,PLIS_3074_AL,8.8666,12.6338,7.2273,8.9292,5.7777,9.7649
SKEL-J,female,PLIS_3867_IB,8.0145,9.9045,7.1001,6.4485,6.9940,9.6256
SKEL-J,female,PLIS_4042_HK,8.1973,9.7702,6.9864,6.8113,9.2812,8.1374
SKEL-J,female,PLIS_4071_AO,8.8979,11.3134,8.0746,7.9034,6.0794,11.1185
SKEL-J,female,PREG_2964_AH,7.0223,7.0745,7.8131,8.3631,4.4881,7.3727
SKEL-J,female,PREG_3184_MW,12.4888,13.2786,21.9305,8.8092,9.9113,8.5142
SKEL-J,female,PREG_3304_CK,11.6805,11.7175,19.8427,6.5542,5.5992,14.6887
SKEL-J,female,PREG_3897_HP,11.7070,10.6122,16.0109,10.7367,10.4296,10.7457
SKEL-J,female,PREG_4108_IH,6.6301,8.3145,9.3327,4.7151,4.0825,6.7056
SKEL-J,female,RS050248_,10.2590,15.9272,7.2709,11.9056,7.5714,8.6199
SKEL-J,female,TULIP_1560_EM,7.6929,7.4728,5.8096,9.2474,9.0271,6.9074
SKEL-J,female,VS114_,14.2914,17.1631,8.3569,14.9619,14.1938,16.7813
SKEL-J,female,YB915,8.7373,8.5718,5.7558,11.5452,9.9349,7.8788
