method,gender,subject,dist_mean_mm,dist_Femur_mm,dist_Pelvis_mm,dist_Humerus_mm,dist_Radius-Ulna_mm,dist_Tibia-Fibula_mm
HIT,female,CR260152,10.5591,9.3135,20.4880,7.7099,7.8940,7.3903
HIT,female,EZ1466,11.2634,7.1923,26.3308,5.0047,6.3899,11.3992
HIT,female,GKF_EFneu_,9.5632,6.3525,21.9230,6.8823,5.9349,6.7233
HIT,female,JKneu_,10.5482,7.4340,22.3207,8.0492,6.7574,8.1795
HIT,female,MR573,10.1474,7.5416,23.9127,4.7570,8.6728,5.8531
HIT,female,NASI_3277_MD,11.1528,7.3717,25.6638,9.1743,6.4016,7.1527
HIT,female,NASI_3343_SZ,10.5090,6.9182,27.8279,5.6552,5.8124,6.3311
HIT,female,NASI_3345_JZ,12.6943,9.1900,26.7541,12.0580,6.4241,9.0452
HIT,female,NRE_3217_VM,9.8285,8.3141,20.4012,5.9882,5.9379,8.5010
HIT,female,PLIS_3074_AL,9.8162,8.0866,20.6601,6.2040,6.8212,7.3092
HIT,female,PLIS_3867_IB,9.4126,6.4688,21.1153,5.1498,6.8069,7.5225
HIT,female,PLIS_4042_HK,9.1353,6.2610,18.3610,7.2319,6.7864,7.0360
HIT,female,PLIS_4071_AO,12.7433,8.2511,30.7902,7.5216,6.7677,10.3856
HIT,female,PREG_2964_AH,9.6923,5.5355,26.0617,3.9080,7.3616,5.5946
HIT,female,PREG_3184_MW,12.4303,7.6821,26.5096,10.4335,10.0263,7.5002
HIT,female,PREG_3304_CK,12.4165,9.7849,26.8213,6.6253,5.0958,13.7553
HIT,female,PREG_3897_HP,15.7076,7.9579,42.7293,6.7269,14.3092,6.8144
HIT,female,PREG_4108_IH,10.3071,5.8287,30.7196,4.6514,4.4090,5.9268
HIT,female,RS050248_,12.6624,11.2443,31.4226,6.6596,8.2498,5.7357
HIT,female,TULIP_1560_EM,10.9624,6.3593,25.1302,4.4013,11.7601,7.1612
HIT,female,VS114_,13.2686,11.8686,20.7635,15.0059,7.8718,10.8332
HIT,female,YB915,10.8099,6.3292,23.0853,4.4750,13.5929,6.5671
OSSO,female,CR260152,11.2185,11.4634,12.6159,8.5455,15.3656,8.1022
OSSO,female,EZ1466,8.1833,9.0931,8.5118,6.0623,9.1142,8.1350
OSSO,female,GKF_EFneu_,7.8667,8.5237,7.5140,6.6799,11.1146,5.5014
OSSO,female,JKneu_,8.3925,8.1504,9.5511,7.4703,9.0854,7.7051
OSSO,female,MR573,9.6918,10.3196,8.7763,10.7783,11.6691,6.9156
OSSO,female,NASI_3277_MD,7.7190,6.4983,8.8701,8.7606,9.3574,5.1089
OSSO,female,NASI_3343_SZ,7.3755,7.1247,6.5020,7.1873,10.8921,5.1711
OSSO,female,NASI_3345_JZ,9.5994,9.0174,9.6992,12.6538,9.8095,6.8170
OSSO,female,NRE_3217_VM,8.1276,8.3225,7.4315,7.0071,11.2134,6.6637
OSSO,female,PLIS_3074_AL,10.5514,12.0514,10.9450,10.9078,10.6350,8.2180
OSSO,female,PLIS_3867_IB,8.2254,7.0027,6.5562,8.2856,11.0610,8.2218
OSSO,female,PLIS_4042_HK,9.7437,8.4209,8.7355,9.5764,14.8347,7.1509
OSSO,female,PLIS_4071_AO,10.1924,10.0466,9.8439,9.6192,13.5912,7.8611
OSSO,female,PREG_2964_AH,7.9650,6.6633,6.3355,11.4576,10.0685,5.2998
OSSO,female,PREG_3184_MW,10.1204,7.3324,13.1403,12.3170,12.0103,5.8017
OSSO,female,PREG_3304_CK,10.4008,8.9557,14.1394,7.1811,9.0228,12.7051
OSSO,female,PREG_3897_HP,9.9984,7.1945,16.5322,9.9226,8.9615,7.3814
OSSO,female,PREG_4108_IH,6.7729,6.6067,6.9140,6.6597,8.4754,5.2085
OSSO,female,RS050248_,10.6993,13.5526,8.3402,13.6528,10.4292,7.5215
OSSO,female,TULIP_1560_EM,9.3522,8.8748,7.9880,11.5262,11.3857,6.9865
OSSO,female,VS114_,13.7352,14.1752,13.1628,15.9270,11.9318,13.4792
OSSO,female,YB915,8.8745,7.8103,7.0640,10.6412,12.0748,6.7820
SKEL,female,CR260152,9.8551,11.7564,12.0004,8.2911,7.5162,9.7114
